year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20200420,11.5,20.6,2.6,0.5,2049
20200419,10.8,17,0.3,18.5,2029
20200418,12.3,22.1,0.8,0.7,1984
20200417,11.7,20.5,1.7,14.1,1969
20200416,13.2,25,0.8,0,1760
20200415,12.3,23.5,1.6,0,1771
20200414,12.1,24.4,3.9,0,1724
20200413,9.5,20.5,2.5,0,1738
20200412,8.3,17.3,3.5,3.2,1734
20200411,8.8,18.4,3.8,2.2,1695
20200410,9.7,19.1,3,0,1678
20200409,8.9,19.5,5.6,0,1680
20200408,9.9,21.4,3.5,0.1,1658
20200407,11.8,22.7,1.5,0.1,1669
20200406,9.2,20.1,6.9,0,1590
20200405,7.2,18.3,9.2,0,1590
20200404,9.2,23.1,5.6,0,1586
20200403,10.8,21.5,2.9,0,1581
20200402,9.6,19.8,4.6,0,1566
20200401,10.8,21.8,2,0.7,1543
20200331,11.1,21.8,3.6,0,1542
20200330,10,19.4,4.1,0,1542
20200329,7.7,18.3,6,0.1,1553
20200328,7.2,14.7,4.4,0,1559
20200327,11.4,22.9,1.1,5.6,1591
20200326,13.3,23.5,0,7,1589
20200325,11.7,23.3,3.6,0,1582
20200324,9.5,20.1,5.5,0,1582
20200323,9.9,21.3,3.8,0,1582
20200322,12.3,23.6,2.1,0,1659
20200321,13.2,25.4,1.6,0.3,1666
20200320,9.5,19,2.3,0,1666
20200319,9.7,22.1,1.7,0,1674
20200318,9.8,20.6,4.2,0,1679
20200317,7.6,20,4.3,0.1,1706
20200316,4.5,13.7,8.9,0.3,1720
20200315,5.4,15.7,4.7,0.3,1719
20200314,5.1,12.6,8.7,0,1670
20200313,7.1,18.1,5.3,0,1667
20200312,6.8,17.8,5.6,0,1602
20200311,4.9,14.5,4.1,0,1586
20200310,7.5,15.2,0.8,9.1,1584
20200309,8.8,19.6,4.9,3.2,1562
20200308,7.6,18.7,6.4,0,1562
20200307,5.4,14.9,6.9,1.6,1560
20200306,3.9,15.3,8.9,0,1560
20200305,2.4,12.1,8.2,0,1561
20200304,4.3,14.8,6.1,0,1559
20200303,6.1,15.5,6.1,0.1,1559
20200302,5.2,15.4,3.6,0.1,1555
20200301,6.9,16.3,7.2,0.1,1555
20200229,6.7,15.2,3.5,0,1554
20200228,4.5,11.6,7.8,2.7,1253
20200227,5.3,14.9,6.5,0.1,1271
20200226,7,16.1,2.5,1.5,1217
20200225,7.5,21.8,0.4,28.1,1218
20200224,7.2,19.3,6.4,0.2,1370
20200223,3.5,13.1,7.3,0,1374
20200222,6.4,14.8,5,1.6,1377
20200221,7.1,17.1,5.1,1.6,1315
20200220,5,15.6,7.3,0,1316
20200219,2.4,13.5,10.7,0,1272
20200218,1.4,10,13.9,0,1238
20200217,2.8,4.9,12.4,1,1234
20200216,2,15.6,9,6.5,1229
20200215,9.6,21.6,1.2,1.5,1237
20200214,8,20.2,3.6,0,1256
20200213,8.3,18.1,2.2,0.1,1256
20200212,7.8,17.4,0.9,12.6,1249
20200211,5.7,16.6,12.7,0.1,1215
20200210,4.1,15.9,8.4,0,1213
20200209,0.5,10.4,16.8,0.1,1093
20200208,1.6,11.3,9.7,0.2,1091
20200207,0.2,11.8,12.4,0,1087
20200206,3.9,9.6,24,0,1016
20200205,3.3,8.9,18.9,0,1014
20200204,0.5,12.2,18.6,0.3,1055
20200203,1.6,13.7,9.7,0,1054
20200202,2.5,12.8,11.2,0,1058
20200201,2.6,12.8,6.8,0,1017
20200131,3.2,11.5,11.2,0,1079
20200130,4.6,12.9,5,0.9,1089
20200129,5.7,13.9,4.4,0.6,1096
20200128,6.6,14,2.4,0.9,1103
20200127,5.9,11.5,1.7,15.2,1121
20200126,6.1,13.8,5.4,0.6,1127
20200125,5,14.4,5.2,0.1,1406
20200124,4.5,15.9,8.2,1.3,1433
20200123,5.4,14.8,6.1,2.1,1454
20200122,3.2,14.5,5.1,4.2,1372
20200121,0.6,11.8,14.2,0,1482
20200120,2.6,11.9,7.3,0,1588
20200119,2.3,10.5,6.9,0.1,1622
20200118,1.4,11.8,9.2,0.8,1777
20200117,0.8,12.7,12.2,0.3,1845
20200116,0.3,10.3,13.9,0,1859
20200115,0.8,9.3,13.6,0,1883
20200114,0.2,7.9,13.5,0,1918
20200113,0.4,10.6,9.6,0,2070
20200112,1.7,9.8,7.5,0,2071
20200111,1.9,11.5,7.3,0,2078
20200110,1,13.1,10.4,0,2113
20200109,1.9,9.8,7,0,2166
20200108,5.4,17.4,1.8,4.5,2224
20200107,8.8,23.6,0.3,41.8,2225
20200106,3.5,18.9,9.7,10,2228
20200105,1.5,13.5,14.2,0,2200
20200104,1.6,14,9.9,0,2193
20200103,2.1,13.4,8.8,0,2179
20200102,1.6,12.7,9.9,0,2176
20200101,0.9,9.6,11.5,0,2171
20191231,3.8,10.7,14.4,0.1,1580
20191230,5,15.5,7.5,0.9,1592
20191229,2.6,17.3,8.9,6.2,1598
20191228,0.5,11.6,11.7,0,1598
20191227,0.6,9.6,11.3,0,1619
20191226,3.7,13.9,4.9,1.1,1626
20191225,3.5,16.3,10.4,0,1628
20191224,2.1,14.4,10.9,0,1626
20191223,3.8,15.3,6.6,0.7,1654
20191222,3,12.5,6.9,0.1,1656
20191221,0.2,11.9,10,0.1,1640
20191220,1,11.9,9,0.1,1652
20191219,2.2,13.1,7.9,0,1650
20191218,4.6,15.7,4.6,0.4,1682
20191217,8.3,19.8,1.6,2.2,1684
20191216,7.1,18.8,4.5,0,1685
20191215,4.7,17.8,10.2,0,1688
20191214,4,17.2,6,0.4,1691
20191213,1.6,15.7,9.9,0.1,1690
20191212,1.7,12.4,8.7,0,1693
20191211,6.9,19.2,4.9,0.2,1691
20191210,6.5,19,5.6,0.4,1702
20191209,3,15.7,9.6,0.1,1708
20191208,1.4,13.1,13.9,0,1713
20191207,0.1,11.7,12.1,0,1705
20191206,3.2,10.4,15.6,0,1683
20191205,0.2,13.2,14.5,0,1670
20191204,4.2,15.5,8,0.1,1617
20191203,2.4,11.9,9.2,0.5,1614
20191202,3.6,14.9,7.2,0.2,1614
20191201,6.3,17.5,0.3,12.5,1612
20191130,5.4,18,8.2,0.1,1612
20191129,3.4,16,7.5,0,1577
20191128,4.7,16.9,4.3,3.1,1576
20191127,6.2,15.4,4,1,1575
20191126,7.7,17.2,4,0.5,1568
20191125,5.9,17.8,4.1,3.5,1564
20191124,12.8,23.8,1.3,1.2,1532
20191123,10.8,22.4,4.6,0,1532
20191122,9.3,22.3,3.4,0,1534
20191121,5,18.7,9.7,0,1534
20191120,2.6,14.7,9.2,0,1530
20191119,3.7,13.4,6.1,0.1,1616
20191118,8.7,22.7,4.7,11.6,1616
20191117,11,24.3,2,19,1601
20191116,10.3,21.7,0.7,0.2,1609
20191115,7.2,18.1,7.1,3.6,1615
20191114,3.7,15.2,6.5,0,1671
20191113,8.9,19.1,2.5,2.8,1674
20191112,9.7,19.6,1.8,0,1664
20191111,12.1,20.1,2.3,1.1,1663
20191110,9.4,21.3,3.8,8.5,1655
20191109,8.5,20.5,4.6,0.1,1603
20191108,7.8,20.1,5,0,1608
20191107,10.8,20.8,1.3,0,1610
20191106,11.3,21.9,1.8,0,1596
20191105,11.7,23.3,1.3,0,1590
20191104,12.5,21.3,0.6,0.2,1361
20191103,13.8,22.8,2.7,1.5,1347
20191102,13.5,23.2,0.4,0,1308
20191101,14.3,24.7,2.9,0,1274
20191031,13.3,23,0.1,0,1246
20191030,11.3,22.7,1.2,0,1240
20191029,13.2,23.1,2.7,0.7,1257
20191028,11.5,21.6,1.9,0.3,1265
20191027,10.7,20.5,1.5,0,1282
20191026,12.8,22.6,0.6,0,1282
20191025,16.9,25.6,7.3,0.3,1277
20191024,17.4,25.2,9.5,2.3,1285
20191023,16,23.2,4.1,0.1,1288
20191022,15.9,24.7,3.3,0,1288
20191021,15.3,25,1.1,0,1288
20191020,15.1,24.9,3.9,0,1275
20191019,16.2,25.3,7.2,0.2,1256
20191018,15.3,23.4,5.8,3.8,1261
20191017,14,23.6,2.2,0,1247
20191016,13.3,22.8,3,0,1189
20191015,13.3,22.5,3.3,1.2,1194
20191014,14.7,25.6,5.1,3.4,1214
20191013,15.9,25.4,4.7,0,1217
20191012,18,26.5,8.9,0,1220
20191011,17.9,27.8,4.1,0,1220
20191010,14.9,26.2,2.7,0,1221
20191009,13.3,24.3,0.3,0,1229
20191008,15.9,24.6,2.9,0.1,1240
20191007,15.5,25.3,6.1,8.6,1244
20191006,17.3,26,5.4,0,1246
20191005,18.9,28.5,8.3,3.2,1256
20191004,21.2,29.5,11.6,0.3,1259
20191003,22,29.9,14.3,28.9,1263
20191002,21.1,27.3,14.4,106.3,1266
20191001,21.5,29.9,8.9,9.4,1270
20190930,21.6,30.9,6.6,0.1,1284
20190929,22.2,31.5,10.8,0.1,1284
20190928,22.5,29.8,12.6,1.8,1282
20190927,21.4,29.5,7,1.5,1284
20190926,20.4,29.5,9.3,0,1278
20190925,18.4,27.4,5.2,0,1266
20190924,17.8,27.4,4.4,0,1262
20190923,18.1,25.4,6.5,0.4,1262
20190922,17.5,24.1,10.8,65.1,1280
20190921,17.8,23.2,11.1,40.1,1301
20190920,19.3,28.2,7.1,0,1337
20190919,19.2,27.8,8.2,0,1342
20190918,21,31.7,10.9,0,1344
20190917,21.3,30.7,6.3,0,1333
20190916,22.4,30.5,8.5,0.2,1336
20190915,23.4,31.7,12.1,0.4,1300
20190914,22.3,31.7,12.4,0.1,1300
20190913,21.7,29.7,10.3,0,1300
20190912,20.8,29.4,12.5,5.6,1300
20190911,23.9,32.9,14.8,7.4,1300
20190910,25.4,33,16.6,15.3,1301
20190909,24.7,34.2,18,8,1280
20190908,24.6,32,18.2,0.8,1314
20190907,25.8,33.4,20,12.3,1314
20190906,25.4,31.5,18.3,2.9,1329
20190905,24.2,33,18.5,22,1377
20190904,23.4,30.4,16.7,11.9,1385
20190903,22.1,28.1,14.6,13.1,1391
20190902,21.6,29.8,13.6,11.4,1400
20190901,22.1,28.7,12,0.8,1408
20190831,22.6,30.6,12.4,0,1509
20190830,22.9,31,14,0.2,1509
20190829,22.4,30.4,14.6,4.2,1522
20190828,23.8,30.7,14.3,0.9,1580
20190827,22.7,31,14.1,16.7,1592
20190826,24.3,32.2,13.1,0.1,1598
20190825,23.2,31.2,12.5,1.2,1598
20190824,22.8,30.3,13.7,0,1619
20190823,24.7,32.5,14.1,0,1626
20190822,25.8,33,19.1,25.2,1628
20190821,25.8,33,15.6,8.6,1626
20190820,26,33.2,13.1,0.2,1654
20190819,25.1,32.9,12.3,0.4,1656
20190818,25.3,34.3,14.5,0,1640
20190817,26.2,35.1,17.7,2.1,1652
20190816,26.4,34.3,19.3,1.9,1650
20190815,26.1,33.3,20.2,15.8,1682
20190814,28.6,36.4,20.3,1.2,1684
20190813,28.5,36.9,18.5,1.2,1685
20190812,27.7,35.7,21.1,15.5,1688
20190811,28.3,36.2,20.1,8,1691
20190810,28.6,37.1,18.6,0,1690
20190809,28.3,36.1,19.2,0.1,1693
20190808,27.6,36.1,18.8,5.7,1691
20190807,27.2,35.6,20.7,14.7,1702
20190806,27.6,36.8,16.8,10.9,1708
20190805,28.8,37.6,18.6,0.7,1713
20190804,28.4,36.9,18.1,0.6,1705
20190803,28.3,36.7,18.2,0.5,1683
20190802,28.8,37.5,19.2,0.1,1670
20190801,28.4,36.7,21.1,3.4,1617
20190731,28.4,36.5,22.3,6,1614
20190730,28.4,36,20.6,0.7,1614
20190729,27.8,35.2,21.6,0.1,1612
20190728,26.9,34.6,21.9,10.9,1612
20190727,27.1,35.2,19.2,12.1,1577
20190726,26.5,34.3,19.8,19,1576
20190725,26.6,34,20.5,16.3,1575
20190724,26.8,34.2,20.3,0.5,1568
20190723,27.9,36.1,20.1,0,1564
20190722,27,35,19.8,0.3,1532
20190721,24.8,31.3,18.8,20,1532
20190720,24.8,32.2,19.2,56.5,1534
20190719,25.2,35.4,15.8,13.9,1534
20190718,24.3,33.4,17.8,8.1,1530
20190717,24.4,32.2,16.7,3.7,1616
20190716,23.8,31.2,16.8,4.5,1616
20190715,23.2,30.2,16.5,8.8,1601
20190714,23.9,32.6,13.8,2.1,1609
20190713,23.3,31.2,14.8,1.6,1615
20190712,23.2,32,15,0.4,1671
20190711,22.2,29.8,15.5,8.5,1674
20190710,20.9,27.3,13.5,20.7,1664
20190709,22.6,30.5,12.4,0.2,1663
20190708,22.6,31,13.9,0.5,1655
20190707,23.5,32.5,14.3,0.2,1603
20190706,25.1,36.1,13.5,0,1608
20190705,25.1,36.9,13,0,1610
20190704,24.4,35.5,13.6,0,1596
20190703,23.1,31.4,11.8,0,1590
20190702,23.4,32.1,12.8,0,1361
20190701,23.2,31.3,16.2,0.4,1347
20190630,23.8,33.3,15,0,1526
20190629,21.6,29.8,16.2,31.7,1526
20190628,23.6,31.9,12.3,0.8,1526
20190627,23.8,33.1,14.3,12,1522
20190626,21.1,29.5,12.2,33.1,1515
20190625,23.6,33.9,10.8,0,1519
